benchmark,qubits,gates,mid_meas,valid_runs,median_seconds,q1_seconds,q3_seconds
rqc_q100_g50_m5,100,50,5,50,0.237,0.235,0.994
rqc_q100_g50_m10,100,50,10,50,0.229,0.212,1.299
rqc_q100_g50_m20,100,50,20,50,0.238,0.235,0.413
rqc_q100_g100_m5,100,100,5,50,1.036,1.028,3.256
rqc_q100_g100_m10,100,100,10,50,1.054,1.045,3.009
rqc_q100_g100_m20,100,100,20,50,1.248,1.089,6.483
rqc_q100_g200_m5,100,200,5,50,2.412,2.395,6.875
rqc_q100_g200_m10,100,200,10,50,18.570,3.385,27.043
rqc_q100_g200_m20,100,200,20,50,2.284,1.907,11.463
