benchmark,qubits,gates,mid_meas,run_id,rng_seed,status,time_seconds,note
rqc_q100_g50_m10.py,100,50,10,20,20290321,SUCCESS,0.194984,
rqc_q100_g50_m10.py,100,50,10,21,20290322,SUCCESS,0.901128,
rqc_q100_g50_m10.py,100,50,10,22,20290323,SUCCESS,0.925020,
rqc_q100_g50_m10.py,100,50,10,23,20290324,SUCCESS,0.931494,
rqc_q100_g50_m10.py,100,50,10,24,20290325,SUCCESS,0.194735,
rqc_q100_g50_m10.py,100,50,10,25,20290326,SUCCESS,0.900767,
rqc_q100_g50_m10.py,100,50,10,26,20290327,SUCCESS,0.916939,
rqc_q100_g50_m10.py,100,50,10,27,20290328,SUCCESS,0.191931,
rqc_q100_g50_m10.py,100,50,10,28,20290329,SUCCESS,0.915119,
rqc_q100_g50_m10.py,100,50,10,29,20290330,SUCCESS,1.806547,
rqc_q100_g50_m10.py,100,50,10,30,20290331,SUCCESS,0.896667,
rqc_q100_g50_m10.py,100,50,10,31,20290332,SUCCESS,1.851701,
rqc_q100_g50_m10.py,100,50,10,32,20290333,SUCCESS,1.813627,
rqc_q100_g50_m10.py,100,50,10,33,20290334,SUCCESS,1.812374,
rqc_q100_g50_m10.py,100,50,10,34,20290335,SUCCESS,0.215966,
rqc_q100_g50_m10.py,100,50,10,35,20290336,SUCCESS,0.194438,
rqc_q100_g50_m10.py,100,50,10,36,20290337,SUCCESS,0.897667,
rqc_q100_g50_m10.py,100,50,10,37,20290338,SUCCESS,0.196995,
rqc_q100_g50_m10.py,100,50,10,38,20290339,SUCCESS,3.066801,
rqc_q100_g50_m10.py,100,50,10,39,20290340,SUCCESS,0.941425,
rqc_q100_g50_m10.py,100,50,10,40,20290341,SUCCESS,1.974337,
rqc_q100_g50_m10.py,100,50,10,41,20290342,SUCCESS,0.200306,
rqc_q100_g50_m10.py,100,50,10,42,20290343,SUCCESS,0.200377,
rqc_q100_g50_m10.py,100,50,10,43,20290344,SUCCESS,1.869766,
rqc_q100_g50_m10.py,100,50,10,44,20290345,SUCCESS,2.992307,
rqc_q100_g50_m10.py,100,50,10,45,20290346,SUCCESS,0.208751,
rqc_q100_g50_m10.py,100,50,10,46,20290347,SUCCESS,0.898937,
rqc_q100_g50_m10.py,100,50,10,47,20290348,SUCCESS,0.191413,
rqc_q100_g50_m10.py,100,50,10,48,20290349,SUCCESS,0.194957,
rqc_q100_g50_m10.py,100,50,10,49,20290350,SUCCESS,0.190854,
rqc_q100_g50_m10.py,100,50,10,50,20290351,SUCCESS,0.193655,
rqc_q100_g50_m20.py,100,50,20,1,20290402,SUCCESS,0.205092,
rqc_q100_g50_m20.py,100,50,20,2,20290403,SUCCESS,0.211076,
rqc_q100_g50_m20.py,100,50,20,3,20290404,SUCCESS,0.214478,
rqc_q100_g50_m20.py,100,50,20,4,20290405,SUCCESS,0.217680,
rqc_q100_g50_m20.py,100,50,20,5,20290406,SUCCESS,1.732522,
rqc_q100_g50_m20.py,100,50,20,6,20290407,SUCCESS,0.216381,
rqc_q100_g50_m20.py,100,50,20,7,20290408,SUCCESS,0.366363,
rqc_q100_g50_m20.py,100,50,20,8,20290409,SUCCESS,0.368661,
rqc_q100_g50_m20.py,100,50,20,9,20290410,SUCCESS,1.161533,
rqc_q100_g50_m20.py,100,50,20,10,20290411,SUCCESS,0.207480,
